Nationalities,Year,Kolumna2
American,1950,35
American,1951,51
American,1952,60
American,1953,69
American,1954,76
American,1955,84
American,1956,89
American,1957,96
American,1958,107
American,1959,118
American,1960,128
American,1961,131
American,1962,134
American,1963,136
American,1964,138
American,1965,139
American,1966,139
American,1967,141
American,1968,143
American,1969,143
American,1970,144
American,1971,147
American,1972,147
American,1973,148
American,1974,148
American,1975,149
American,1976,149
American,1977,150
American,1978,152
American,1979,152
American,1980,153
American,1981,153
American,1982,153
American,1983,154
American,1984,154
American,1985,154
American,1986,154
American,1987,154
American,1988,154
American,1989,154
American,1990,154
American,1991,154
American,1992,154
American,1993,155
American,1994,155
American,1995,155
American,1996,155
American,1997,155
American,1998,155
American,1999,155
American,2000,155
American,2001,155
American,2002,155
American,2003,155
American,2004,155
American,2005,155
American,2006,156
American,2007,156
American,2008,156
American,2009,156
American,2010,156
American,2011,156
American,2012,156
American,2013,156
American,2014,156
American,2015,157
American,2016,157
American,2017,157
American,2018,157
American,2019,157
American,2020,157
American,2021,157
American,2022,157
American-Italian,1950,0
American-Italian,1951,0
American-Italian,1952,0
American-Italian,1953,0
American-Italian,1954,0
American-Italian,1955,0
American-Italian,1956,0
American-Italian,1957,0
American-Italian,1958,0
American-Italian,1959,0
American-Italian,1960,1
American-Italian,1961,1
American-Italian,1962,1
American-Italian,1963,1
American-Italian,1964,1
American-Italian,1965,1
American-Italian,1966,1
American-Italian,1967,1
American-Italian,1968,1
American-Italian,1969,1
American-Italian,1970,1
American-Italian,1971,1
American-Italian,1972,1
American-Italian,1973,1
American-Italian,1974,1
American-Italian,1975,1
American-Italian,1976,1
American-Italian,1977,1
American-Italian,1978,1
American-Italian,1979,1
American-Italian,1980,1
American-Italian,1981,1
American-Italian,1982,1
American-Italian,1983,1
American-Italian,1984,1
American-Italian,1985,1
American-Italian,1986,1
American-Italian,1987,1
American-Italian,1988,1
American-Italian,1989,1
American-Italian,1990,1
American-Italian,1991,1
American-Italian,1992,1
American-Italian,1993,1
American-Italian,1994,1
American-Italian,1995,1
American-Italian,1996,1
American-Italian,1997,1
American-Italian,1998,1
American-Italian,1999,1
American-Italian,2000,1
American-Italian,2001,1
American-Italian,2002,1
American-Italian,2003,1
American-Italian,2004,1
American-Italian,2005,1
American-Italian,2006,1
American-Italian,2007,1
American-Italian,2008,1
American-Italian,2009,1
American-Italian,2010,1
American-Italian,2011,1
American-Italian,2012,1
American-Italian,2013,1
American-Italian,2014,1
American-Italian,2015,1
American-Italian,2016,1
American-Italian,2017,1
American-Italian,2018,1
American-Italian,2019,1
American-Italian,2020,1
American-Italian,2021,1
American-Italian,2022,1
Argentine,1950,3
Argentine,1951,4
Argentine,1952,5
Argentine,1953,10
Argentine,1954,12
Argentine,1955,13
Argentine,1956,13
Argentine,1957,13
Argentine,1958,13
Argentine,1959,13
Argentine,1960,16
Argentine,1961,17
Argentine,1962,17
Argentine,1963,17
Argentine,1964,17
Argentine,1965,17
Argentine,1966,17
Argentine,1967,17
Argentine,1968,17
Argentine,1969,17
Argentine,1970,17
Argentine,1971,17
Argentine,1972,18
Argentine,1973,18
Argentine,1974,18
Argentine,1975,18
Argentine,1976,18
Argentine,1977,18
Argentine,1978,18
Argentine,1979,19
Argentine,1980,19
Argentine,1981,20
Argentine,1982,20
Argentine,1983,20
Argentine,1984,20
Argentine,1985,20
Argentine,1986,20
Argentine,1987,20
Argentine,1988,21
Argentine,1989,21
Argentine,1990,21
Argentine,1991,21
Argentine,1992,21
Argentine,1993,21
Argentine,1994,21
Argentine,1995,21
Argentine,1996,21
Argentine,1997,22
Argentine,1998,23
Argentine,1999,23
Argentine,2000,24
Argentine,2001,24
Argentine,2002,24
Argentine,2003,24
Argentine,2004,24
Argentine,2005,24
Argentine,2006,24
Argentine,2007,24
Argentine,2008,24
Argentine,2009,24
Argentine,2010,24
Argentine,2011,24
Argentine,2012,24
Argentine,2013,24
Argentine,2014,24
Argentine,2015,24
Argentine,2016,24
Argentine,2017,24
Argentine,2018,24
Argentine,2019,24
Argentine,2020,24
Argentine,2021,24
Argentine,2022,24
Argentine-Italian,1950,0
Argentine-Italian,1951,0
Argentine-Italian,1952,0
Argentine-Italian,1953,0
Argentine-Italian,1954,0
Argentine-Italian,1955,0
Argentine-Italian,1956,0
Argentine-Italian,1957,1
Argentine-Italian,1958,1
Argentine-Italian,1959,1
Argentine-Italian,1960,1
Argentine-Italian,1961,1
Argentine-Italian,1962,1
Argentine-Italian,1963,1
Argentine-Italian,1964,1
Argentine-Italian,1965,1
Argentine-Italian,1966,1
Argentine-Italian,1967,1
Argentine-Italian,1968,1
Argentine-Italian,1969,1
Argentine-Italian,1970,1
Argentine-Italian,1971,1
Argentine-Italian,1972,1
Argentine-Italian,1973,1
Argentine-Italian,1974,1
Argentine-Italian,1975,1
Argentine-Italian,1976,1
Argentine-Italian,1977,1
Argentine-Italian,1978,1
Argentine-Italian,1979,1
Argentine-Italian,1980,1
Argentine-Italian,1981,1
Argentine-Italian,1982,1
Argentine-Italian,1983,1
Argentine-Italian,1984,1
Argentine-Italian,1985,1
Argentine-Italian,1986,1
